"ID","Name","Description","URL","SKU","Categories","Status","Image","Price","Stock Status","Sale Price"
"4721","Hamlet 2 Strawberry Daiquiri for €12","<p>Smirnoff Vodka, Sugar Syrup, Strawberry Liqueur, Triple Sec, Blended to a Rich Creamy Texture Garnished with Strawberries.</p><p>Age Restricted Item. Identification must be shown to the driver.</p><p><br> </p>","https://weshop4u.ie/products/hamlet-2-strawberry-daiquiri-for-eur15","SF-2443-DCDG-DupQJ-WtNLj-0K6y5-rtCWe-xMcuW-0KZgF-DF6b6-CE6ww-Syi60-N9nK6-BCkmM-Jjs9G-A3FY8-lSq7u-y3vAz-zuXC4-EtvGx-RlO2J-HnFTD-1voG3-z6H52","Curtins Hamlet Coctkails","pending","https://weshop4u.ie/storage/frozen-strawberry-daiquiri-cocktails.jpg","12","in_stock",""
"4722","Hamlet Virgin Sunset","<p>Orange Juice, Pineapple Juice, Cranberry Juice and a splash of Grenadine.</p><p>Age Restricted Item. Identification must be shown to the driver.</p><p><br> </p>","https://weshop4u.ie/products/hamlet-virgin-sunset-4722","SF-2443-DCDG-DupQJ-WtNLj-0K6y5-rtCWe-xMcuW-0KZgF-DF6b6-CE6ww-Syi60-N9nK6-BCkmM-Jjs9G-A3FY8-lSq7u-y3vAz-zuXC4-EtvGx-RlO2J-HnFTD-W1P5T","Curtins Hamlet Coctkails","pending","https://weshop4u.ie/storage/virgin-sunset-cocktail.jpg","6","in_stock",""
"4723","Budweiser 15pk Bottles 330ml","<p>Age Restricted Item. Identification must be shown to the driver.</p>","https://weshop4u.ie/products/budweiser-15pk-bottles-330ml","SF-2443-CNRM","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/15-bottles-budweiser.jpg","23.5","out_of_stock",""
"4724","Dairy Milk Turkish Delight 47g","","https://weshop4u.ie/products/dairy-milk-turkish-delight-47g-4724","SF-2443-R7PB-rGfVB","Chocolate Bars","published","https://weshop4u.ie/storage/products/dairy-milk-turkish-delight-54g.jpg","2.79","in_stock",""
"4725","Dairy Milk Tiffin 54g","","https://weshop4u.ie/products/dairy-milk-tiffin-54g-4725","SF-2443-D5HU-1rmuR","Chocolate Bars","published","https://weshop4u.ie/storage/products/dairy-milk-tiffin-54g.jpg","2.79","in_stock",""
"4726","Clubtail Crushers Sex On The Beach","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/clubtail-crushers-sex-on-the-beach","SF-2443-SWU0","Flavored Alcohol,Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/clubtail-crushers-sex-on-the-beach.jpg","4.5","in_stock",""
"4727","Clubtails Crushers Pink Lemonade 355ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/clubtails-crushers-pink-lemonade-355ml","SF-2443-SWU0-d0RsF","Flavored Alcohol,Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/clubtails-crushers-pink-lemonade.jpg","4.5","in_stock",""
"4728","X-Lite Strawberry and Lime Vodka 330ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/x-lite-strawberry-and-lime-vodka-330ml","SF-2443-SWU0-d0RsF-VoZ5B","Flavored Alcohol,Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/x-lite-strawberry-and-lime-vodka-330ml.jpg","3.5","in_stock",""
"4729","Malibu Pina Colada 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/malibu-pina-colada-250ml","SF-2443-B77F","Flavored Alcohol,Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/malibu-pina-colada-250ml.jpg","3.55","in_stock",""
"4730","Malibu Pineapple 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/malibu-pineapple-250ml","SF-2443-B77F-YUzip","Flavored Alcohol","published","https://weshop4u.ie/storage/malibu-pineapple-250ml.jpg","3.55","in_stock",""
